,LotArea,BedroomAbvGr
0,8450,3
1,9600,3
2,11250,3
3,9550,3
4,14260,4
5,14115,1
6,10084,3
7,10382,3
8,6120,2
9,7420,2
10,11200,3
11,11924,4
12,12968,2
13,10652,3
14,10920,2
15,6120,2
16,11241,2
17,10791,2
18,13695,3
19,7560,3
20,14215,4
21,7449,3
22,9742,3
23,4224,3
24,8246,3
25,14230,3
26,7200,3
27,11478,3
28,16321,2
29,6324,1
30,8500,3
31,8544,3
32,11049,3
33,10552,4
34,7313,2
35,13418,4
36,10859,3
37,8532,3
38,7922,3
39,6040,2
40,8658,3
41,16905,2
42,9180,2
43,9200,3
44,7945,3
45,7658,2
46,12822,1
47,11096,3
48,4456,2
49,7742,3
50,13869,3
51,6240,3
52,8472,2
53,50271,0
54,7134,3
55,10175,3
56,2645,3
57,11645,3
58,13682,3
59,7200,2
60,13072,3
61,7200,3
62,6442,2
63,10300,3
64,9375,3
65,9591,4
66,19900,3
67,10665,3
68,4608,2
69,15593,3
70,13651,3
71,7599,2
72,10141,3
73,10200,3
74,5790,3
75,1596,2
76,8475,2
77,8635,2
78,10778,4
79,10440,2
80,13000,4
81,4500,2
82,10206,3
83,8892,3
84,8530,3
85,16059,4
86,11911,3
87,3951,2
88,8470,2
89,8070,3
90,7200,2
91,8500,2
92,13360,2
93,7200,4
94,9337,3
95,9765,3
96,10264,3
97,10921,3
98,10625,2
99,9320,3
