Height,Weight
127.8296,67.63371
123.4114,65.95421
134.4043,66.14316
155.9981,73.45251
136.1354,69.30943
119.2647,65.10463
112.9622,67.25835
130.9521,69.56302
140.5955,70.46411
114.521,66.73451
121.1912,65.70055
131.1613,68.37937
145.0568,69.90933
122.0038,65.26199
123.2082,67.90434
132.9511,68.39529
159.4214,68.47646
126.9642,65.77453
133.896,68.13705
140.6199,71.13762
127.2639,69.5776
142.2736,69.17547
127.4216,71.08973
140.6238,70.10094
112.9531,67.9143
133.9494,68.36155
129.2477,66.92387
118.0115,65.7765
131.2489,66.39279
131.3802,64.88167
146.1936,70.96218
115.6669,62.99042
121.5774,68.7831
142.8314,66.27411
122.375,68.06319
116.2171,68.79573
124.9442,64.65419
136.7116,71.81276
117.7597,66.49246
128.8387,66.246
126.8823,69.13237
127.5982,67.18215
113.8478,64.54504
102.2607,66.34719
125.966,70.74539
110.2593,62.40921
115.0091,66.49663
132.4786,66.94063
118.7218,68.37668
116.7817,68.29789
130.9528,69.64403
115.3929,67.42189
128.8601,69.22762
144.9624,67.8101
115.6267,68.79172
113.9428,66.3778
126.7483,69.60885
114.3042,68.01762
133.7865,72.34677
116.0406,67.39338
135.5907,67.18316
151.5781,71.8127
144.9723,71.16317
123.9837,68.43265
121.2849,65.33549
126.2582,69.96042
133.1992,69.50765
120.029,66.49201
115.5067,68.17075
126.4525,67.41405
120.0566,68.33879
132.9298,67.72532
142.2085,67.70525
133.0479,67.70153
127.348,64.26607
135.1397,70.09461
110.4565,65.82888
119.4855,67.02188
129.5017,67.42044
122.0308,68.5454
88.04646,60.61265
126.8852,65.54597
143.1687,67.16576
126.8469,67.24388
115.863,67.22402
122.0955,65.87678
108.1062,67.94764
119.4764,66.45294
136.8066,67.19789
138.3614,66.72234
129.4379,67.94058
121.7656,66.76895
136.1071,70.58611
132.0323,67.85523
107.8183,65.96176
139.7691,65.48497
130.5668,68.81871
125.9385,67.45148
139.8741,70.15337
112.8169,69.38429
137.0147,65.19088
135.197,68.46057
137.0353,68.72702
151.9118,68.5529
125.2331,69.02801
125.1627,68.01097
139.9603,68.52069
131.0879,66.0808
120.6675,66.62532
141.9567,69.02285
117.0906,64.62759
121.217,65.49834
131.9705,66.18249
143.301,67.97456
136.9649,69.30191
122.0211,64.0927
120.4461,66.25327
132.2534,71.7491
115.5208,65.92318
105.214,67.32686
127.5459,67.50781
115.8239,69.39218
136.391,72.43693
121.8554,68.84406
144.6908,70.74812
116.3024,67.03686
144.6479,69.87984
127.7368,67.50705
129.6754,67.99061
109.8718,63.09629
125.5112,68.1677
129.9018,70.48939
135.924,69.91993
116.4033,68.5127
111.5429,68.05308
112.0903,68.01914
138.6399,69.6161
126.2625,68.00358
104.8015,66.69679
140.1015,71.80484
116.0243,65.4258
114.4221,64.69002
117.2506,67.37511
141.7658,69.44092
127.8407,67.64085
138.2703,70.48329
119.0279,66.1292
119.4164,64.72033
147.3407,67.42102
131.1796,73.32067
135.8658,69.28167
124.8873,69.19398
131.3343,73.6454
140.5596,68.66702
137.6336,69.22296
123.238,67.62461
119.185,64.79406
122.353,68.09234
148.0819,70.97495
124.673,68.29032
144.3368,69.05895
126.4711,69.1082
106.4953,67.72585
123.9036,66.61174
116.2469,65.56852
125.6535,67.21088
120.9881,71.27947
135.062,67.30874
134.9774,70.02152
126.9731,68.24515
111.8224,64.24878
116.9901,68.374
131.4137,65.48562
123.5493,66.24777
133.0682,67.43272
134.0208,68.42978
120.3047,68.8071
136.8641,66.4883
116.2255,69.42301
128.3993,70.20798
121.7723,66.66707
119.04,64.40454
127.9486,67.94309
116.4848,68.3902
141.5054,73.06241
111.02,68.05693
115.6393,65.67652
117.2748,66.47578
110.6833,68.77967
119.7698,68.33747
136.24,68.28091
142.7847,70.88927
133.1697,67.37218
107.1578,66.44097
135.25,68.41222
109.5143,66.49607
139.6043,67.84894
134.3672,67.27839
130.3869,68.48742
